vwap,transactions,ticker,timestamp,open,high,low,close,volume,sma_close_20
,367895,AAPL,2009-10-23 00:00:00+00:00,205.7,205.8,203.23,203.94,15028100,354.79150000000004
239.2337,614028,AAPL,2025-01-30 00:00:00+00:00,238.665,240.79,237.21,237.59,55658279,353.77
190.4896,424229,AAPL,2019-03-26 00:00:00+00:00,191.66,192.88,184.58,186.79,49800538,350.7575
249.5813,528880,AAPL,2010-06-08 00:00:00+00:00,253.24,253.8,245.65,249.33,35741800,351.9035
97.6039,190757,AAPL,2016-02-29 00:00:00+00:00,96.86,98.23,96.65,96.69,35216277,346.7065
,499932,AAPL,2023-06-23 00:00:00+00:00,185.55,187.56,185.01,186.68,53116996,343.197
165.434,696225,AAPL,2008-06-27 00:00:00+00:00,166.44,170.57,164.15,170.09,37223200,320.42
,426633,AAPL,2018-12-14 00:00:00+00:00,169.0,169.08,165.28,165.48,40703710,297.4125
176.9674,526644,AAPL,2008-07-14 00:00:00+00:00,175.37,179.3,173.08,173.88,31644800,274.825
211.8686,712565,AAPL,2024-08-08 00:00:00+00:00,213.11,214.2,208.83,213.31,47161149,253.212
169.1236,204928,AAPL,2008-06-26 00:00:00+00:00,174.14,174.844,168.01,168.26,31057500,229.34650000000002
172.8892,391515,AAPL,2019-06-03 00:00:00+00:00,175.6,177.92,170.27,173.3,40396069,205.733
204.215,411503,AAPL,2019-08-02 00:00:00+00:00,205.53,206.43,201.63,204.02,40862122,184.65249999999997
243.187,366549,AAPL,2010-07-20 00:00:00+00:00,242.9,252.9,240.01,251.89,38391100,188.726
,572822,AAPL,2024-08-08 00:00:00+00:00,213.11,214.2,208.83,213.31,47161149,190.6815
,194627,AAPL,2014-05-27 00:00:00+00:00,615.88,625.86,615.63,625.63,12459500,213.53850000000003
236.6063,685975,AAPL,2025-01-10 00:00:00+00:00,240.01,240.16,233.0,236.85,61710856,215.88000000000002
212.0144,768933,AAPL,2025-03-13 00:00:00+00:00,215.95,216.8394,208.42,209.68,61368330,217.7455
227.323,692122,AAPL,2025-08-11 00:00:00+00:00,227.92,229.56,224.76,227.18,61806132,218.1565
,299677,AAPL,2024-02-08 00:00:00+00:00,189.385,189.535,187.35,188.32,40962046,219.11099999999996
201.4224,596078,AAPL,2025-06-27 00:00:00+00:00,201.89,203.22,200.0,201.08,73188571,218.96800000000002
,964766,AAPL,2009-08-11 00:00:00+00:00,163.69,164.38,161.88,162.83,12690800,215.23000000000002
164.7091,370001,AAPL,2007-11-15 00:00:00+00:00,166.39,169.59,160.3,164.3,53121800,214.10549999999998
,646562,AAPL,2025-01-24 00:00:00+00:00,224.78,225.63,221.41,222.78,54697907,212.77800000000002
,417565,AAPL,2010-01-08 00:00:00+00:00,210.3,212.0,209.06,211.98,15986100,218.54249999999996
230.4964,786111,AAPL,2025-01-16 00:00:00+00:00,237.35,238.01,228.03,228.26,71759052,220.62150000000003
,515212,AAPL,2024-10-18 00:00:00+00:00,236.18,236.18,234.01,235.0,46431472,223.86700000000002
204.5318,493714,AAPL,2025-06-09 00:00:00+00:00,204.39,206.0,200.02,201.45,72862557,225.66549999999998
204.7892,821281,AAPL,2025-06-30 00:00:00+00:00,202.01,207.39,199.2607,205.17,91912816,227.23000000000002
,491026,AAPL,2010-06-08 00:00:00+00:00,253.24,253.8,245.65,249.33,35741800,229.031
,515879,AAPL,2010-02-23 00:00:00+00:00,200.0,201.33,195.71,197.059,20539100,230.47095
221.3808,500797,AAPL,2018-10-12 00:00:00+00:00,220.42,222.88,216.84,222.11,40337851,232.91144999999997
,397728,AAPL,2019-02-08 00:00:00+00:00,168.99,170.66,168.42,170.41,23819966,231.23094999999998
,615447,AAPL,2010-03-11 00:00:00+00:00,223.91,225.5,223.32,225.5,14489300,229.91144999999997
206.274,496396,AAPL,2025-04-23 00:00:00+00:00,206.0,208.0,202.799,204.6,52929165,229.47595
,493752,AAPL,2024-08-26 00:00:00+00:00,226.76,227.28,223.8905,227.18,30602208,209.55345000000003
,488304,AAPL,2023-10-27 00:00:00+00:00,166.91,168.96,166.83,168.22,58499129,206.12195000000003
,574045,AAPL,2024-12-16 00:00:00+00:00,247.99,251.38,247.65,251.04,51694753,208.18995
,514658,AAPL,2019-07-17 00:00:00+00:00,204.05,205.09,203.27,203.35,14107450,206.99845
,690825,AAPL,2024-11-04 00:00:00+00:00,220.99,222.79,219.71,222.01,44944468,208.68294999999998
192.7975,379247,AAPL,2009-12-09 00:00:00+00:00,191.28,198.16,190.31,197.8,24456500,208.51895
,514813,AAPL,2009-12-18 00:00:00+00:00,193.17,195.503,192.6,195.43,21741800,210.14895
,860118,AAPL,2009-11-09 00:00:00+00:00,196.94,201.9,196.26,201.46,18887700,212.00695000000002
228.6648,365242,AAPL,2025-02-04 00:00:00+00:00,227.25,233.13,226.65,232.8,45067301,212.50795000000002
,573895,AAPL,2025-05-22 00:00:00+00:00,200.71,202.75,199.7,201.36,46742407,211.97695
159.8761,575950,AAPL,2022-04-26 00:00:00+00:00,162.25,162.34,156.72,156.8,94008394,208.40394999999998
214.3924,505013,AAPL,2019-08-01 00:00:00+00:00,213.9,218.03,206.74,208.43,54017922,207.07545
234.095,512233,AAPL,2024-10-18 00:00:00+00:00,236.18,236.18,234.01,235.0,46431472,208.75295
,783994,AAPL,2009-12-23 00:00:00+00:00,201.25,202.38,200.81,202.1,12340200,208.59945000000002
213.3495,651657,AAPL,2024-08-09 00:00:00+00:00,212.1,216.78,211.97,216.24,42201646,206.94495
190.091,299677,AAPL,2009-10-13 00:00:00+00:00,190.63,191.17,189.7,190.02,12429300,206.593
231.3338,388917,AAPL,2025-08-15 00:00:00+00:00,234.0,234.28,229.335,231.59,56038657,207.067
239.7085,457752,AAPL,2025-02-26 00:00:00+00:00,244.33,244.98,239.13,240.36,44433564,210.5645
227.7892,1031749,AAPL,2025-09-10 00:00:00+00:00,232.185,232.42,225.95,226.79,83440810,210.629
,710850,AAPL,2018-05-25 00:00:00+00:00,188.23,189.65,187.65,188.58,17460963,209.82800000000003
227.7892,1031749,AAPL,2024-10-04 00:00:00+00:00,227.9,228.0,224.13,226.8,37345098,209.80900000000003
,1584323,AAPL,2025-01-07 00:00:00+00:00,242.98,245.55,241.35,242.21,40855960,213.5085
208.176,970491,AAPL,2025-07-01 00:00:00+00:00,206.665,210.1865,206.1401,207.82,78788867,211.3475
195.8833,1035410,AAPL,2025-05-23 00:00:00+00:00,193.665,197.7,193.46,195.27,78432918,210.9435
,839212,AAPL,2010-11-05 00:00:00+00:00,317.99,319.57,316.75,317.13,12901900,215.6995
,440059,AAPL,2025-06-23 00:00:00+00:00,201.625,202.3,198.96,201.5,55814272,215.88449999999997
,557550,AAPL,2018-06-13 00:00:00+00:00,192.42,192.88,190.44,190.7,21638393,215.648
,496396,AAPL,2025-06-27 00:00:00+00:00,201.89,203.22,200.0,201.08,73188571,215.629
,685447,AAPL,2010-04-12 00:00:00+00:00,242.2,243.07,241.81,242.29,11893800,216.1035
,1123164,AAPL,2020-02-18 00:00:00+00:00,315.36,319.75,314.61,319.0,38190545,221.9855
,412945,AAPL,2007-01-16 00:00:00+00:00,95.68,97.25,95.45,97.1,44431300,219.00050000000002
,774355,AAPL,2017-10-18 00:00:00+00:00,160.42,160.71,159.6,159.76,16158659,216.567
,383402,AAPL,2009-11-30 00:00:00+00:00,201.11,201.68,198.77,199.91,15173500,214.8125
218.864,493840,AAPL,2024-09-11 00:00:00+00:00,221.455,223.09,217.89,222.66,44587072,215.84050000000002
223.1447,579473,AAPL,2024-09-03 00:00:00+00:00,228.55,229.0,221.17,222.77,50190574,216.167
220.6316,673189,AAPL,2019-09-17 00:00:00+00:00,219.96,220.82,219.12,220.7,18386468,217.70099999999996
